tag,DBH cm,height m,stems,crown base ht m, CVS,CVC,bole char ht cm,bole ch DBH perc,bole ch base perc,mean depth consumed cm,percent duff cons ,mean duff depth cm,Cvsprouting percent,max sprout ht cm,sprout BA cm2,epicormics,site,scar,Long,Lat,dieback
446,12.2,9.5,1,4.6,100,0,55,0,90,4.50,12.50,9,20,0,0,,HLD01,964,-122.5101333,47.05950373,70
447,13.6,7.2,1,2.1,90,0,90,0,100,2.05,20.56,4.766666667,50,0,0,10,HLD01,966,-122.5103437,47.05953163,40
448,29.2,9.2,2,5.3,100,0,175,60,100,7.16,79.64,8.585714286,0,0,0,,HLD01,969,-122.5101854,47.05956695,100
449,19.2,11.9,3,4.5,100,0,114,0,100,6.75,84.32,7.475,60,0,0,30,HLD01,973,-122.5100275,47.05954827,20
450,21.4,13.3,6,5.8,60,70,52,0,100,2.20,43.18,4.457142857,30,0,0,30,HLD01,975,-122.5099096,47.05948478,10
451,14.2,7.1,1,3.9,50,0,10,0,20,0.00,0.00,0,0,0,0,,HLD01,977,-122.5098187,47.05934941,0
452,11.2,6.4,1,2.6,30,0,33,0,60,1.40,8.05,4.45,0,0,0,,HLD01,979,-122.5099382,47.05923294,10
453,19.5,8.7,1,5.2,70,0,33,0,60,8.85,50.00,8.85,0,0,0,15,HLD01,983,-122.5096342,47.05936662,10
454,20.7,11,3,3.7,100,0,28,0,50,6.40,25.00,6.4,0,0,0,,HLD01,986,-122.5094239,47.05932072,20
455,11.9,10.2,3,5.5,100,0,19,0,70,1.80,12.02,3.7,70,0,0,,HLD01,988,-122.509463,47.05936588,0
456,15.7,10.8,3,6.1,60,0,11,0,40,1.00,8.59,2.8,0,0,0,,HLD01,990,-122.509449,47.05945581,10
457,20,11.5,3,4.7,70,0,40,0,100,4.29,72.88,5.785714286,0,0,0,,HLD01,992,-122.5092917,47.05937415,0
458,23.1,13.7,6,6,60,0,41,0,100,5.05,78.53,6.45,0,0,0,,HLD01,995,-122.5090667,47.05949916,0
459,27,12,3,2.7,100,0,0.6,0,50,4.83,27.40,6.366666667,80,0,0,,HLD01,998,-122.5085501,47.0598299,20
460,27.1,11,2,2.9,20,0,0,0,0,0.00,0.00,0,0,0,0,,HLD01,1000,-122.5084592,47.05969453,10
