tag,site,DBH cm,height m,crown base ht m, CVS,CVC,bole char ht cm,bole ch DBH perc,bole ch base perc,mean depth consumed cm,prop duff cons ,mean duff depth cm,Cvsprouting percent,max sprout ht cm,scar,1yr_dieback,2yr_mort,2yr_basal sprouting,5yr_mort,,,
947,HLD02,9.2,7.5,2.7,10,0,0,0,0,0,0,0,0,0,0,10,L,N,,,,
948,HLD02,23.4,13,5.6,0,0,0,0,0,0,0,0,0,0,0,15,L,N,,,,
949,HLD02,22.2,8.3,3.7,100,0,0,0,0,0,0,0,0,0,0,40,L,N,,,,
950,HLD02,32,10.6,5.2,40,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
951,HLD02,24.5,9.9,1.4,60,0,6,0,10,0.88,12.5,0,0,0,0,20,L,N,,,,
952,HLD02,24.6,12.4,2.7,50,0,0,0,0,0,0,0,0,0,0,10,L,N,,,,
953,HLD02,16.1,8.6,3,10,0,0,0,0,0,0,0,0,0,0,10,L,N,,,,
954,HLD02,18,11.4,5.1,0,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
955,HLD02,22.9,12,3.3,0,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
956,HLD02,23.1,10.9,3.4,30,0,7,0,10,2.25,37.5,0,0,0,0,10,L,N,,,,
957,HLD02,19.8,9.1,2.9,100,0,80,0,100,0.06,3.13,0,0,0,0,40,L,N,,,,
958,HLD02,20,9.7,2.1,60,0,0,0,0,0,0,0,0,0,0,10,L,N,,,,
959,HLD02,23,13.5,4.6,0,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
960,HLD02,13.1,6.4,4.2,100,0,28,0,100,0,0,0,0,0,0,20,L,N,,,,
961,HLD02,9,5.4,2.4,100,0,240,100,80,0,0,0,0,0,0,80,L,N,,,,
962,HLD02,18.7,11.7,5.3,100,0,20,0,80,0.38,6.82,0,0,0,0,20,L,N,,,,
963,HLD02,18.4,10.5,4.5,100,0,140,50,30,0.98,18.48,0,0,0,0,50,L,N,,,,
964,HLD02,23.3,6.3,3.2,10,0,0,0,0,0.63,6.94,0,0,0,0,10,L,N,,,,
965,HLD02,25.4,13,7.4,10,0,12,0,50,0,0,0,0,0,0,0,L,N,,,,
966,HLD02,16.9,10.6,4.4,40,0,15,0,20,1.78,24.69,0,0,0,0,10,L,N,,,,
967,HLD02,11.1,6.7,3.3,100,0,160,0,100,3.31,41.73,0,0,0,0,30,L,N,,,,
968,HLD02,20.1,14.3,5.4,10,0,32,0,60,0,0,0,0,0,1,10,L,N,,,,
969,HLD02,16.5,7.8,2.9,100,0,90,0,100,5.23,58.79,0,0,49,1,100,TK,Y,,,,
970,HLD02,18.7,12.3,3.9,100,0,210,30,60,1.65,27.86,0,0,0,0,10,L,N,,,,
971,HLD02,20.7,13,4.4,80,0,180,30,40,0.59,13,0,0,0,1,10,L,N,,,,
972,HLD02,14.7,10.8,4.1,100,0,86,0,40,1.63,31.4,0,0,0,1,30,L,N,,,,
973,HLD02,29.1,11.8,2,30,0,27,0,100,4.85,74.52,0,0,0,0,10,L,N,,,,
974,HLD02,14.1,9.3,4.1,50,0,53,0,90,0,0,0,0,0,1,0,L,N,,,,
975,HLD02,26.3,13.8,2.9,30,0,60,0,80,1.34,27.85,0,0,0,0,10,L,N,,,,
976,HLD02,18.3,8.6,3.2,90,0,30,0,70,0.19,4.46,0,0,0,0,40,L,N,,,,
977,HLD02,17.9,9.4,2.7,100,0,0,0,0,0,0,0,0,0,1,70,L,N,,,,
978,HLD02,15.7,9.5,3.6,0,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
979,HLD02,15,6.5,3.2,0,0,0,0,0,0,0,0,0,0,1,10,L,N,,,,
980,HLD02,32.7,19.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
981,HLD02,19.5,8.6,4.9,10,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
982,HLD02,5.1,3.6,2.6,100,10,360,70,0,0,0,0,0,112,0,100,TK,Y,,,,
983,HLD02,40.9,15.4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
984,HLD02,12.9,10,3.4,0,0,0,0,0,0,0,0,0,0,0,0,L,N,,,,
985,HLD02,22.8,14.8,7.5,10,0,20,0,40,0,0,0,0,0,0,5,L,N,,,,
986,HLD02,18.5,11.4,2.5,100,0,7,0,10,1.59,25,0,0,0,1,70,L,N,,,,
987,HLD02,15.2,11.4,4.9,40,0,0,0,0,0,0,0,0,0,0,40,L,N,,,,
988,HLD02,20,12.1,2.8,90,0,0,0,0,0,0,0,0,0,0,20,L,N,,,,
989,HLD02,15.9,6.2,3.9,40,0,0,0,0,2.34,46.87,0,0,0,1,10,L,N,,,,
990,HLD02,7.4,3.5,1.8,100,0,0,0,0,0,0,0,0,0,1,10,L,N,,,,
61,LH02,44.40,17.70,7.10,100,0,0,0,0,0,0,0,,,0,40,L,N,,,,
62,LH02,13.40,10.50,3.20,10,0,0,0,0,0,0,0,,,0,10,L,N,,,,
63,LH02,24.40,17.90,7.10,10,0,0.38,0,80,6.0375,0.955139373,6.2625,,,0,0,L,N,,,,
64,LH02,10.10,4.70,1.70,100,0,1.06,0,100,8.8375,0.946482684,9.1,,,0,0,D,N,,,,
65,LH02,20.60,15.60,6.40,100,0,1,0,100,4.442857143,0.697115385,4.757142857,,,0,5,L,N,,,,
66,LH02,61.00,19.20,9.20,20,0,0.25,0,10,7.742857143,0.75,7.742857143,,,0,5,L,N,,,,
67,LH02,6.50,4.90,6.30,100,5,2.3,80,100,3.214285714,0.788461538,3.857142857,,,0,100,TK,Y,,,,
68,LH02,17.80,13.40,7.30,100,0,1,0,100,8.425,0.99625,6.775,,,1,20,L,Y,,,,
69,LH02,21.50,17.40,10.40,20,0,0.7,0,100,6.85,0.968243243,7.075,,,0,0,L,N,,,,
70,LH02,31.60,17.00,7.70,100,0,1.4,60,100,9.6875,1,9.6875,,,0,30,L,N,,,,
71,LH02,17.00,12.50,6.20,100,0,0.6,0,70,9.875,0.875,9.875,,,0,10,L,N,,,,
72,LH02,21.30,17.60,7.30,10,0,0.05,0,5,0,0,0,,,0,0,L,N,,,,
73,LH02,20.10,11.70,4.80,100,0,1.1,0,100,9.475,0.8375,9.6625,,,0,10,L,N,,,,
74,LH02,23.30,17.40,6.80,10,0,0.1,0,10,8.916666667,0.75,8.916666667,,,0,10,L,N,,,,
75,LH02,31.00,16.30,8.50,40,0,0.95,100,100,8.925,1,8.925,,,0,0,L,N,,,,
76,LH02,25.00,17.70,8.70,10,0,0.6,0,100,6.3375,0.966549296,6.575,,,0,0,L,N,,,,
77,LH02,18.30,11.20,2.10,30,0,0.3,20,10,4.8,0.670833333,5.166666667,,,0,10,L,N,,,,
78,LH02,8.90,6.00,3.30,100,0,4.9,20,100,10.15,0.9625,10.3375,,,0,100,D,N,,,,
79,LH02,4.60,3.70,1.40,100,0,0.75,,,6.185714286,0.861979167,6.257142857,,,1,100,D,N,,,,
80,LH02,5.20,3.90,2.00,100,0,0.47,0,0,8.5,0.907838983,9.1,,,0,100,TK,Y,,,,
81,LH02,23.30,12.40,1.80,20,0,0.43,0,70,5.1375,0.678965336,5.7875,,,1,5,L,N,,,,
82,LH02,24.20,14.40,5.20,10,0,0.09,0,20,2.3125,0.427517361,3.0125,,,0,0,L,N,,,,
83,LH02,21.20,15.10,6.80,100,0,0.2,0,50,3.2125,0.804513889,3.75,,,0,0,L,N,,,,
84,LH02,26.50,10.30,5.20,100,0,0.7,0,90,3.9,0.375,3.9,,,0,10,L,N,,,,
85,LH02,33.50,15.10,9.30,100,0,1.5,25,100,11.5,0.724431818,11.8,,,0,0,L,N,,,,
86,LH02,24.30,15.40,9.80,100,0,0.9,0,100,8.514285714,0.850087413,8.728571429,,,0,50,L,N,,,,
87,LH02,25.30,18.40,7.40,100,0,0.9,0,70,6.65,1,6.65,,,0,40,L,N,,,,
88,LH02,21.00,11.10,4.90,70,0,1.6,30,30,4.6125,0.935511364,4.8875,,,0,0,L,N,,,,
89,LH02,20.20,10.40,2.80,80,0,0,0,0,4.3375,0.910714286,4.65,,,1,10,L,N,,,,
90,LH02,10.20,7.30,1.80,20,0,0.05,0,10,7.25,1,7.25,,,0,20,L,N,,,,
91,LH02,20.00,10.90,1.90,20,0,0.54,0,60,8.066666667,0.697222222,8.383333333,,,0,5,L,N,,,,
92,LH02,10.20,4.60,1.50,20,0,0,0,0,0,0,0,,,0,0,L,N,,,,
93,LH02,27.70,15.90,8.40,80,0,3.9,100,100,10.7,0.875,10.7,,,0,30,L,N,,,,
94,LH02,20.80,10.20,2.60,60,0,0.5,0,20,5.2625,0.827272727,5.5125,,,0,20,L,N,,,,
95,LH02,20.30,8.40,2.50,100,0,0,0,0,2.2125,0.5,2.2125,,,0,20,L,N,,,,
96,LH02,18.40,12.30,5.60,100,0,1.7,20,40,4.425,0.975496032,4.55,,,0,40,L,N,,,,
97,LH02,11.50,7.40,3.10,100,0,0.5,0,100,7.157142857,0.808510638,7.514285714,,,0,0,L,N,,,,
98,LH02,31.50,13.70,4.70,5,0,0.9,0,90,2.814285714,0.652972028,3.4,,,0,0,L,N,,,,
99,LH02,5.20,4.70,2.10,100,0,0.8,0,100,7.475,1,7.475,,,0,100,TK,Y,,,,
100,LH02,27.70,20.20,13.20,40,0,2.2,30,50,4.625,0.797916667,5.0125,,,0,0,L,N,,,,
101,LH02,35.50,19.40,7.50,90,0,0.08,0,10,2.675,0.458333333,3.05,,,0,30,L,N,,,,
